color	dimension	rank_bin	mediator_count	overall_count	relative_count
red	light-heavy	0.0	1	175565	5.695896106855011e-06
red	light-heavy	1.0	58696	175565	0.33432631788796174
red	light-heavy	2.0	4162	175565	0.023706319596730557
red	light-heavy	3.0	1146	175565	0.006527496938455842
red	light-heavy	4.0	1168	175565	0.006652806652806653
red	light-heavy	5.0	1176	175565	0.006698373821661493
red	light-heavy	6.0	1111	175565	0.0063281405747159175
red	light-heavy	7.0	1152	175565	0.006561672315096973
red	light-heavy	8.0	1163	175565	0.006624327172272378
red	light-heavy	9.0	1115	175565	0.006350924159143337
red	light-heavy	10.0	1195	175565	0.006806595847691738
red	light-heavy	11.0	1148	175565	0.006538888730669552
red	light-heavy	12.0	1150	175565	0.006550280522883262
red	light-heavy	13.0	1137	175565	0.006476233873494147
red	light-heavy	14.0	1162	175565	0.0066186312761655226
red	light-heavy	15.0	1170	175565	0.006664198445020363
red	light-heavy	16.0	1187	175565	0.006761028678836898
red	light-heavy	17.0	1152	175565	0.006561672315096973
red	light-heavy	18.0	1149	175565	0.006544584626776408
red	light-heavy	19.0	1191	175565	0.006783812263264318
red	light-heavy	20.0	1100	175565	0.006265485717540512
red	light-heavy	21.0	1104	175565	0.006288269301967932
red	light-heavy	22.0	1198	175565	0.006823683536012303
red	light-heavy	23.0	1135	175565	0.006464842081280437
red	light-heavy	24.0	1107	175565	0.006305356990288497
red	light-heavy	25.0	1180	175565	0.006721157406088913
red	light-heavy	26.0	1101	175565	0.006271181613647367
red	light-heavy	27.0	1135	175565	0.006464842081280437
red	light-heavy	28.0	1165	175565	0.006635718964486088
red	light-heavy	29.0	1116	175565	0.006356620055250192
red	light-heavy	30.0	1179	175565	0.006715461509982058
red	light-heavy	31.0	1097	175565	0.006248398029219947
red	light-heavy	32.0	1174	175565	0.006686982029447783
red	light-heavy	33.0	1164	175565	0.0066300230683792325
red	light-heavy	34.0	1148	175565	0.006538888730669552
red	light-heavy	35.0	1184	175565	0.006743940990516333
red	light-heavy	36.0	1146	175565	0.006527496938455842
red	light-heavy	37.0	1128	175565	0.006424970808532452
red	light-heavy	38.0	1173	175565	0.0066812861333409275
red	light-heavy	39.0	1136	175565	0.006470537977387293
red	light-heavy	40.0	1128	175565	0.006424970808532452
red	light-heavy	41.0	1139	175565	0.006487625665707857
red	light-heavy	42.0	1136	175565	0.006470537977387293
red	light-heavy	43.0	1146	175565	0.006527496938455842
red	light-heavy	44.0	1199	175565	0.006829379432119158
red	light-heavy	45.0	1161	175565	0.006612935380058668
red	light-heavy	46.0	1102	175565	0.0062768775097542225
red	light-heavy	47.0	1149	175565	0.006544584626776408
red	light-heavy	48.0	1173	175565	0.0066812861333409275
red	light-heavy	49.0	1142	175565	0.0065047133540284225
red	light-heavy	50.0	1181	175565	0.006726853302195768
red	light-heavy	51.0	1142	175565	0.0065047133540284225
red	light-heavy	52.0	1211	175565	0.0068977301854014185
red	light-heavy	53.0	1155	175565	0.006578760003417537
red	light-heavy	54.0	1136	175565	0.006470537977387293
red	light-heavy	55.0	1183	175565	0.006738245094409478
red	light-heavy	56.0	1104	175565	0.006288269301967932
red	light-heavy	57.0	1222	175565	0.0069603850425768235
red	light-heavy	58.0	1067	175565	0.006077521146014297
red	light-heavy	59.0	1143	175565	0.006510409250135278
red	light-heavy	60.0	1159	175565	0.006601543587844958
red	light-heavy	61.0	1155	175565	0.006578760003417537
red	light-heavy	62.0	1225	175565	0.006977472730897389
red	light-heavy	63.0	1150	175565	0.006550280522883262
red	light-heavy	64.0	1195	175565	0.006806595847691738
red	light-heavy	65.0	1185	175565	0.006749636886623188
red	light-heavy	66.0	1167	175565	0.006647110756699798
red	light-heavy	67.0	1112	175565	0.006333836470822772
red	light-heavy	68.0	1230	175565	0.007005952211431663
red	light-heavy	69.0	1179	175565	0.006715461509982058
red	light-heavy	70.0	1149	175565	0.006544584626776408
red	light-heavy	71.0	1121	175565	0.006385099535784467
red	light-heavy	72.0	1154	175565	0.006573064107310683
red	light-heavy	73.0	1099	175565	0.006259789821433657
red	light-heavy	74.0	1192	175565	0.006789508159371173
red	light-heavy	75.0	1102	175565	0.0062768775097542225
red	light-heavy	76.0	1161	175565	0.006612935380058668
red	light-heavy	77.0	1199	175565	0.006829379432119158
red	light-heavy	78.0	1110	175565	0.006322444678609062
red	light-heavy	79.0	1146	175565	0.006527496938455842
red	light-heavy	80.0	1114	175565	0.006345228263036482
red	light-heavy	81.0	1123	175565	0.006396491327998177
red	light-heavy	82.0	1147	175565	0.006533192834562698
red	light-heavy	83.0	1158	175565	0.006595847691738103
red	light-heavy	84.0	1103	175565	0.006282573405861077
red	light-heavy	85.0	1150	175565	0.006550280522883262
red	light-heavy	86.0	1101	175565	0.006271181613647367
red	light-heavy	87.0	1133	175565	0.0064534502890667275
red	light-heavy	88.0	1132	175565	0.006447754392959872
red	light-heavy	89.0	1110	175565	0.006322444678609062
red	light-heavy	90.0	1167	175565	0.006647110756699798
red	light-heavy	91.0	1136	175565	0.006470537977387293
red	light-heavy	92.0	1137	175565	0.006476233873494147
red	light-heavy	93.0	1187	175565	0.006761028678836898
red	light-heavy	94.0	1152	175565	0.006561672315096973
red	light-heavy	95.0	1193	175565	0.006795204055478028
red	light-heavy	96.0	1138	175565	0.006481929769601003
red	light-heavy	97.0	1160	175565	0.006607239483951813
red	light-heavy	98.0	1168	175565	0.006652806652806653
red	light-heavy	99.0	1109	175565	0.006316748782502207
