0	1	2	3	4	5	6	7	8	9
brownish	gray	browned	browns	browning	browner	blackish	tan	colored	grey
gray	bluegreen	pink	violet	blued	crimson	maroon	turquoise	cobalt	purples
purples	purpled	pink	purplish	violet	purpling	lavender	scarlet	crimson	Purple
whited	whitely	whiten	pink	whitening	gray	whitest	whitened	whiter	colored
bluegreen	greenish	greeny	gray	greens	purples	greening	yellows	greened	teal
yellows	yellowing	yellowy	yellowish	yellowed	pink	crimson	greenish	purples	Yellow
crimson	pink	scarlet	bloodred	reddish	vermilion	pinking	redder	splotched	violet
gray	dark	blacked	blackish	Black	collarless	colored	blacker	sharkskin	formfitting
oranges	pink	crimson	purples	tangerine	yellows	chartreuse	violet	magenta	Orange
unhappy	happier	glad	pleased	happiest	delighted	Happy	grateful	contented	content
overripe	ripening	ripened	guava	honeydew	fruit	apples	apricots	peaches	tripe
harder	Hard	difficult	hardest	tough	harden	Difficult	easy	hardens	toughen
furious	Angry	frustrated	upset	confused	angrier	annoyed	frightened	irritated	mad
sadder	unhappy	saddens	lonely	disappointed	sorrowful	saddened	saddest	sadness	melancholy
loved	hated	preferred	likes	wanted	Liked	enjoyed	knew	admired	cared
ripen	ripening	ripened	ripeness	overripe	fruit	peaches	apples	watermelons	grapes
slowing	slowed	Slow	slower	slowest	steady	uptake	Slowing	slowly	slowdown
dying	Dead	deceased	died	corpses	corpse	killed	unburied	murdered	lifeless
cleaned	cleans	Clean	cleaning	spotless	cleanser	scrubbed	wash	cleansers	cleanest
unexciting	Exciting	interesting	thrilling	excited	exhilarating	adventurous	fascinating	excite	excites
calms	calmed	quiet	calming	calmness	serene	calmer	Calm	cool	becalmed
Alive	awake	still	dying	here	intact	safe	healthy	killed	harmed
jealously	Jealous	jealousy	jealousies	zealous	upset	mad	Jealousy	envious	bossy
tenses	tensed	tension	tenseness	tensely	anxious	nervous	tensing	worried	Tense
thick	Heavy	heavier	heavies	weighty	dense	weighted	weight	heaviest	heavily
New	newest	different	newly	latest	newer	replace	changer	brandnew	replacement
sunlight	lights	illumination	glow	floodlight	illuminated	streetlamp	streetlight	brightness	illuminating
faster	quickly	rapidly	Fast	speed	soon	Faster	quick	swiftly	rapid
heated	heat	hotter	warm	scorching	Hot	steamy	humid	cool	muggy
selflessness	devotion	unselfish	courageous	praiseworthy	compassionate	egotistical	commendable	devotional	compassion
filthy	dirtying	dirtied	Dirty	grimy	stained	filth	soiled	grubby	dingy
submissively	submission	submissions	submits	submit	permissive	dismissive	missive	submitting	meek
reactive	actively	inactive	proactive	Active	activity	activism	interactive	responsive	activist
dulls	duller	dulled	dulling	dully	dullest	dullness	muted	boring	listless
dislikes	dislike	disliking	hated	loathed	loved	despised	resented	detested	preferred
Relaxed	relax	relaxes	relaxing	relaxation	comfortable	lightened	tightened	eased	contented
softness	gentle	softest	softer	silky	Soft	warm	smooth	whispery	comfortingly
aggressively	aggressiveness	aggression	aggressors	aggressor	repressive	progressive	sive	expressive	intimidating
ancient	older	Old	aged	oldie	ugly	decrepit	aging	elderly	younger
passively	impassive	passivity	Passive	passionless	emotionless	impassively	Massive	unthreatening	responsive
chill	chilly	chilled	colder	frigid	icy	freezing	warm	Cold	coldest
Stale	musty	odor	stank	reeked	odour	smelled	mildew	smell	sour
freshly	fresher	Fresh	freshest	freshen	afresh	Freshly	freshening	refresh	freshness
