init_x	init_y	final_x	final_y	rt	adjective	color	neither_vs_both	viz_vs_ling
690	50	224	421	8758.10000000149	active	black	0.5084337349397591	0.9751243781094527
690	50	286	217	2924.7999997138977	active	black	0.68	0.5389221556886228
690	50	224	3	5534.0	active	black	0.5010706638115632	0.006507592190889371
690	50	20	228	3371.5999999940395	active	black	0.0481651376146789	0.4948717948717949
690	50	5	232	3675.100000143051	active	black	0.03821656050955414	0.4151436031331593
690	50	424	233	7351.5999999996275	active	black	0.9723618090452262	0.5295508274231678
690	50	272	93	2540.899999976158	active	black	0.6031746031746031	0.19679633867276888
690	50	33	227	4470.60000038147	active	black	0.0413625304136253	0.5111111111111111
690	50	351	238	2202.70000000298	active	black	0.8152709359605911	0.5793871866295265
690	50	402	232	7048.0	active	black	0.9066985645933014	0.9727272727272728
690	50	387	231	9940.399999976158	active	black	0.9240837696335078	0.9702970297029703
690	50	234	393	3271.0	active	black	0.5218340611353712	0.9558011049723757
690	50	224	424	9765.5	aggressive	black	0.5084337349397591	0.9825870646766169
690	50	263	127	3731.5	aggressive	black	0.6033333333333334	0.0
690	50	-1	230	5426.0	aggressive	black	0.019271948608137045	0.49891540130151846
690	50	405	228	3236.9000000059605	aggressive	black	0.9311926605504587	0.4948717948717949
690	50	5	229	3594.599999904633	aggressive	black	0.03821656050955414	0.4073107049608355
690	50	425	232	4500.099999999628	aggressive	black	0.9748743718592965	0.5271867612293144
690	50	261	61	2397.800000011921	aggressive	black	0.5782312925170068	0.12356979405034325
690	50	30	230	4250.300000190735	aggressive	black	0.0340632603406326	0.5185185185185185
690	50	226	149	5567.300000000745	aggressive	black	0.5073891625615764	0.33147632311977715
690	50	417	229	5875.400000035763	aggressive	black	0.9425837320574163	0.9590909090909091
690	50	396	225	3522.5	aggressive	black	0.9476439790575916	0.9405940594059405
690	50	257	374	2961.300000011921	aggressive	black	0.5720524017467249	0.9033149171270718
690	50	118	289	2775.599999904633	alive	black	0.2446043165467626	0.7803030303030303
690	50	236	418	5141.900000095367	alive	black	0.5220264317180616	0.9644670050761421
690	50	259	91	2668.599999904633	alive	black	0.5885057471264368	0.12994350282485875
690	50	79	232	4284.0	alive	black	0.14039408866995073	0.5444126074498568
690	50	258	78	4597.299999952316	alive	black	0.5714285714285714	0.13559322033898305
690	50	225	9	5219.0	alive	black	0.4989106753812636	0.024282560706401765
690	50	226	455	4300.799999952316	alive	black	0.5031982942430704	0.9849785407725322
690	50	22	232	3120.6000022888184	alive	black	0.04672897196261682	0.5169082125603864
690	50	11	227	5647.399999856949	alive	black	0.009259259259259259	0.508235294117647
690	50	341	221	3320.099998474121	alive	black	0.754424778761062	0.5276073619631901
690	50	232	209	18982.0	alive	black	0.511002444987775	0.42962962962962964
690	50	17	225	4631.799999952316	alive	black	0.0117096018735363	0.9672897196261683
690	50	243	382	3520.0	alive	black	0.5398230088495575	0.9057591623036649
690	50	341	108	2900.2999999988824	alive	black	0.7516339869281046	0.24458874458874458
690	50	275	255	2867.199999809265	angry	black	0.6433333333333333	0.7664670658682635
690	50	383	258	2262.199999988079	angry	black	0.868421052631579	0.7446153846153846
690	50	-6	228	3626.800000000745	angry	black	0.01072961373390558	0.5043478260869565
690	50	424	225	12290.200000047684	angry	black	0.9879518072289156	0.5127551020408163
690	50	-2	225	4167.899999976158	angry	black	0.002197802197802198	0.9456066945606695
690	50	224	56	12949.19999998808	angry	black	0.49104859335038364	0.11
690	50	10	228	3679.2999999998137	angry	black	0.017977528089887642	0.027522935779816515
690	50	237	23	2819.699999988079	angry	black	0.5238095238095238	0.036613272311212815
690	50	312	235	1936.60000000149	angry	black	0.7192118226600985	0.5710306406685237
690	50	250	384	2888.199999999255	angry	black	0.5565819861431871	0.8946078431372549
690	50	414	231	14149.100000023842	angry	black	0.9354066985645934	0.9681818181818181
690	50	398	232	3159.100000023842	angry	black	0.9528795811518325	0.9752475247524752
690	50	86	246	4741.199999988079	angry	black	0.19868995633187772	0.5497237569060773
690	50	229	236	5435.099999904633	calm	black	0.49	0.6526946107784432
690	50	397	266	4255.4000000059605	calm	black	0.9019138755980861	0.7692307692307693
690	50	14	227	4729.099999997765	calm	black	0.0536480686695279	0.5021739130434782
690	50	28	228	8208.5	calm	black	0.033734939759036145	0.5204081632653061
690	50	228	19	3195.2000000178814	calm	black	0.5076923076923077	0.08368200836820083
690	50	401	233	11332.900000035765	calm	black	0.9437340153452686	0.995
690	50	12	229	3421.399999999907	calm	black	0.02247191011235955	0.03211009174311927
690	50	302	125	4292.199999988079	calm	black	0.671201814058957	0.2700228832951945
690	50	218	59	6775.800000000745	calm	black	0.4876847290640394	0.0807799442896936
690	50	250	334	4131.699999999255	calm	black	0.5565819861431871	0.7720588235294118
690	50	227	27	8857.5	calm	black	0.4880382775119617	0.04090909090909091
690	50	218	64	3715.900000035763	calm	black	0.4816753926701571	0.14356435643564355
690	50	125	229	4977.399999976158	calm	black	0.2838427947598253	0.5027624309392266
690	50	224	33	11312.0	clean	black	0.5084337349397591	0.009950248756218905
690	50	254	63	2900.0	clean	black	0.5771971496437055	0.07738095238095238
690	50	-6	229	4763.0	clean	black	0.0064794816414686825	0.33003300330033003
690	50	25	221	4314.39999999851	clean	black	0.05227272727272727	0.44591029023746703
690	50	216	439	9211.0	clean	black	0.48394004282655245	0.9522776572668112
690	50	12	222	3048.5999999996275	clean	black	0.04103671706263499	0.4954337899543379
690	50	68	217	3877.0	clean	black	0.15333333333333332	0.44533333333333336
690	50	221	235	5848.400000002235	clean	black	0.4853273137697517	0.5490196078431373
690	50	37	222	2976.79999999702	clean	black	0.0871559633027523	0.4794871794871795
690	50	12	233	3732.900000095368	clean	black	0.05307855626326964	0.4177545691906005
690	50	389	228	5619.800000000745	clean	black	0.8844221105527639	0.5177304964539007
690	50	43	227	11887.099999904633	clean	black	0.06569343065693431	0.5111111111111111
690	50	221	4	1841.60000000149	clean	black	0.48060344827586204	0.03560830860534125
690	50	422	229	11650.60000000149	cold	black	0.9855421686746988	0.4975124378109453
690	50	379	195	4639.600000023842	cold	black	0.8741092636579573	0.47023809523809523
690	50	16	247	5438.0	cold	black	0.05399568034557235	0.38943894389438943
690	50	235	336	5951.39999999851	cold	black	0.5295454545454545	0.7493403693931399
690	50	231	423	3692.0	cold	black	0.5160599571734475	0.9175704989154013
690	50	386	272	4516.299999998882	cold	black	0.8488120950323974	0.6095890410958904
690	50	364	217	22794.0	cold	black	0.8111111111111111	0.44533333333333336
690	50	336	337	4211.10000000149	cold	black	0.744920993227991	0.9490196078431372
690	50	422	225	4361.59999999404	cold	black	0.9701834862385321	0.48717948717948717
690	50	-6	224	2910.9000000953674	cold	black	0.014861995753715499	0.39425587467362927
690	50	435	232	9768.200000001118	cold	black	1.0	0.5271867612293144
690	50	225	423	3808.900000095368	cold	black	0.5085158150851582	0.9950617283950617
690	50	226	3	2433.800000000745	cold	black	0.49137931034482757	0.032640949554896145
690	50	327	165	7498.599999904633	dead	black	0.7458033573141487	0.3106060606060606
690	50	394	226	14892.200000286102	dead	black	0.8700440528634361	0.47715736040609136
690	50	253	72	2446.099999904633	dead	black	0.5747126436781609	0.07627118644067797
690	50	233	96	7804.70000000298	dead	black	0.5197044334975369	0.15472779369627507
690	50	225	24	4690.899999976158	dead	black	0.4915254237288136	0.004842615012106538
690	50	224	29	4326.199999988079	dead	black	0.49673202614379086	0.0684326710816777
690	50	453	223	3073.199999809265	dead	black	0.9872068230277186	0.4871244635193133
690	50	223	432	4047.0	dead	black	0.5163551401869159	1.0
690	50	225	22	7692.0	dead	black	0.5046296296296297	0.02588235294117647
690	50	240	199	3317.2000007629395	dead	black	0.5309734513274337	0.4601226993865031
690	50	426	223	6020.0	dead	black	0.9853300733496333	0.4641975308641975
690	50	229	28	5845.200000047684	dead	black	0.5081967213114754	0.04672897196261682
690	50	228	406	5449.0	dead	black	0.5066371681415929	0.9685863874345549
690	50	405	179	3797.400000000373	dead	black	0.8910675381263616	0.39826839826839827
690	50	223	38	14875.79999999702	dirty	black	0.5060240963855421	0.022388059701492536
690	50	240	51	3304.2999999523163	dirty	black	0.5439429928741093	0.041666666666666664
690	50	367	225	6117.0	dirty	black	0.8120950323974082	0.31683168316831684
690	50	230	58	5529.0	dirty	black	0.5181818181818182	0.0158311345646438
690	50	230	20	3255.0	dirty	black	0.5139186295503212	0.04338394793926247
690	50	225	27	4205.5	dirty	black	0.5010799136069114	0.0502283105022831
690	50	409	225	7831.0	dirty	black	0.9111111111111111	0.4666666666666667
690	50	329	123	4048.39999999851	dirty	black	0.7291196388261851	0.10980392156862745
690	50	412	230	3681.70000000298	dirty	black	0.9472477064220184	0.5
690	50	228	73	7452.199999809265	dirty	black	0.5116772823779193	0.0
690	50	407	211	3407.699999999255	dirty	black	0.9296482412060302	0.47754137115839246
690	50	20	227	3809.5	dirty	black	0.009732360097323601	0.5111111111111111
690	50	224	2	2797.300000000745	dirty	black	0.4870689655172414	0.02967359050445104
690	50	304	209	8342.400000095367	dislike	black	0.6906474820143885	0.4772727272727273
690	50	350	292	4967.200000047684	dislike	black	0.8052256532066508	0.7589285714285714
690	50	347	256	6740.0	dislike	black	0.7688984881209503	0.41914191419141916
690	50	371	228	7406.199999999255	dislike	black	0.8386363636363636	0.46437994722955145
690	50	154	266	4430.800000011921	dislike	black	0.3251231527093596	0.6418338108882522
690	50	202	424	3359.199999999255	dislike	black	0.4514038876889849	0.95662100456621
690	50	231	425	3327.0	dislike	black	0.5155555555555555	1.0
690	50	422	217	2251.199999999255	dislike	black	0.9390519187358917	0.47843137254901963
690	50	227	2	8315.799999952316	dislike	black	0.5053304904051172	0.012875536480686695
690	50	437	228	4190.299999952316	dislike	black	0.9953703703703703	0.5105882352941177
690	50	454	226	1897.9000000022352	dislike	black	0.9827586206896551	0.6943620178041543
690	50	418	226	4906.000000000116	dislike	black	0.9657701711491442	0.47160493827160493
690	50	26	260	4960.700000001118	dislike	black	0.06535947712418301	0.5735930735930735
690	50	276	183	13750.10000038147	dull	black	0.6101321585903083	0.3680203045685279
690	50	247	314	2418.0	dull	black	0.5609195402298851	0.7598870056497176
690	50	292	99	3478.300000011921	dull	black	0.6507177033492823	0.2553846153846154
690	50	2	228	4624.60000000149	dull	black	0.027896995708154508	0.5043478260869565
690	50	224	52	4191.0	dull	black	0.4891041162227603	0.07263922518159806
690	50	454	226	6987.0	dull	black	0.9978213507625272	0.5033112582781457
690	50	413	224	5819.399999856949	dull	black	0.9614457831325302	0.5102040816326531
690	50	411	217	3578.900001525879	dull	black	0.955607476635514	0.4806763285024155
690	50	224	2	2543.9000000059605	dull	black	0.4989010989010989	0.012552301255230125
690	50	404	231	5468.5	dull	black	0.9514066496163683	0.985
690	50	226	437	4017.80000000028	dull	black	0.503370786516854	0.9862385321100917
690	50	255	297	2812.1000003814697	dull	black	0.5641592920353983	0.7607361963190185
690	50	259	276	2355.699999999255	dull	black	0.5773672055427251	0.6299019607843137
690	50	427	227	4677.700000047684	dull	black	0.9718969555035128	0.9766355140186916
690	50	211	397	2888.0	dull	black	0.4690265486725664	0.9450261780104712
690	50	243	418	8064.599999904633	exciting	black	0.5374449339207048	0.9644670050761421
690	50	236	303	4341.400000095367	exciting	black	0.535632183908046	0.7288135593220338
690	50	376	176	2438.0999999940395	exciting	black	0.8516746411483254	0.49230769230769234
690	50	-3	230	4796.79999999702	exciting	black	0.017167381974248927	0.508695652173913
690	50	254	388	4044.0	exciting	black	0.5617433414043583	0.8861985472154964
690	50	225	431	5499.099999964237	exciting	black	0.4989106753812636	0.9558498896247241
690	50	35	226	6730.799999952316	exciting	black	0.05060240963855422	0.5153061224489796
690	50	228	415	4829.0	exciting	black	0.5280373831775701	0.9589371980676329
690	50	228	77	5279.299999982119	exciting	black	0.5076923076923077	0.3263598326359833
690	50	317	138	14084.0	exciting	black	0.7289002557544757	0.52
690	50	12	228	7665.800000000279	exciting	black	0.02247191011235955	0.027522935779816515
690	50	251	315	3205.8999996185303	exciting	black	0.5553097345132744	0.8159509202453987
690	50	269	376	2684.0	exciting	black	0.6004618937644342	0.875
