color	dimension	num_colors	num_dims	num_neither	num_labels
red	light-heavy	379	819	0	779
black	light-heavy	297	772	0	91
orange	light-heavy	85	955	0	47
yellow	light-heavy	156	900	0	24
brown	light-heavy	162	890	0	3
green	light-heavy	235	828	0	13
purple	light-heavy	45	975	1	486
white	light-heavy	322	737	0	22
blue	light-heavy	289	790	0	13
red	relaxed-tense	849	179	0	65
black	relaxed-tense	820	184	0	30
orange	relaxed-tense	464	541	0	29
yellow	relaxed-tense	656	348	0	205
brown	relaxed-tense	651	355	0	197
green	relaxed-tense	747	258	1	63
purple	relaxed-tense	369	636	0	596
white	relaxed-tense	818	189	0	120
blue	relaxed-tense	775	233	0	780
red	alive-dead	335	769	0	44
black	alive-dead	317	710	0	17
orange	alive-dead	83	935	0	61
yellow	alive-dead	137	879	0	1
brown	alive-dead	179	835	0	10
green	alive-dead	242	775	0	12
purple	alive-dead	52	962	0	1
white	alive-dead	358	670	0	50
blue	alive-dead	271	749	0	39
red	exciting-dull	864	169	0	843
black	exciting-dull	871	140	0	33
orange	exciting-dull	540	467	2	569
yellow	exciting-dull	659	351	1	22
brown	exciting-dull	737	273	1	67
green	exciting-dull	795	212	1	13
purple	exciting-dull	418	587	1	15
white	exciting-dull	873	130	0	21
blue	exciting-dull	813	198	0	10
red	soft-hard	374	725	0	45
black	soft-hard	341	699	0	14
orange	soft-hard	82	937	0	8
yellow	soft-hard	152	872	0	56
brown	soft-hard	149	884	0	14
green	soft-hard	226	812	0	66
purple	soft-hard	58	957	0	4
white	soft-hard	342	699	0	11
blue	soft-hard	299	744	0	14
red	fast-slow	475	611	0	26
black	fast-slow	429	595	2	25
orange	fast-slow	133	876	0	17
yellow	fast-slow	209	814	0	21
brown	fast-slow	244	772	0	10
green	fast-slow	321	695	1	23
purple	fast-slow	75	935	0	41
white	fast-slow	507	517	0	24
blue	fast-slow	437	581	0	16
red	calm-angry	604	462	0	793
black	calm-angry	563	451	0	70
orange	calm-angry	206	801	0	4
yellow	calm-angry	318	693	0	15
brown	calm-angry	342	661	0	6
green	calm-angry	456	551	0	460
purple	calm-angry	140	867	0	784
white	calm-angry	576	435	0	22
blue	calm-angry	507	502	0	13
red	ripe-unripe	943	75	0	4
black	ripe-unripe	947	61	2	1
orange	ripe-unripe	789	226	0	811
yellow	ripe-unripe	836	186	0	5
brown	ripe-unripe	851	160	0	34
green	ripe-unripe	917	98	0	12
purple	ripe-unripe	682	347	0	5
white	ripe-unripe	950	66	0	3
blue	ripe-unripe	925	91	0	0
red	fresh-stale	675	376	4	40
black	fresh-stale	652	358	0	2
orange	fresh-stale	282	728	1	289
yellow	fresh-stale	423	595	0	12
brown	fresh-stale	434	576	0	54
green	fresh-stale	532	490	0	8
purple	fresh-stale	201	806	0	3
white	fresh-stale	680	342	0	35
blue	fresh-stale	614	398	0	11
red	submissive-aggressive	959	46	0	30
black	submissive-aggressive	964	38	0	19
orange	submissive-aggressive	819	181	0	824
yellow	submissive-aggressive	893	108	0	47
brown	submissive-aggressive	902	98	0	16
green	submissive-aggressive	940	60	0	52
purple	submissive-aggressive	739	262	0	703
white	submissive-aggressive	967	36	0	9
blue	submissive-aggressive	959	42	0	60
red	active-passive	921	94	0	101
black	active-passive	932	70	0	31
orange	active-passive	727	274	1	830
yellow	active-passive	809	196	0	38
brown	active-passive	844	161	0	35
green	active-passive	892	111	0	59
purple	active-passive	622	382	0	918
white	active-passive	920	89	0	34
blue	active-passive	914	90	0	5
red	selfless-jealous	939	69	0	29
black	selfless-jealous	950	52	0	53
orange	selfless-jealous	759	243	0	15
yellow	selfless-jealous	860	140	0	65
brown	selfless-jealous	871	129	0	49
green	selfless-jealous	893	106	1	19
purple	selfless-jealous	667	334	0	578
white	selfless-jealous	951	50	0	7
blue	selfless-jealous	925	75	0	925
red	cold-hot	347	778	0	51
black	cold-hot	278	767	0	33
orange	cold-hot	75	948	0	20
yellow	cold-hot	105	924	0	49
brown	cold-hot	112	911	0	36
green	cold-hot	187	840	2	13
purple	cold-hot	30	991	0	51
white	cold-hot	273	778	0	28
blue	cold-hot	235	816	0	36
red	clean-dirty	504	575	0	84
black	clean-dirty	529	492	0	86
orange	clean-dirty	153	862	0	0
yellow	clean-dirty	248	771	0	68
brown	clean-dirty	302	715	0	4
green	clean-dirty	356	659	0	54
purple	clean-dirty	110	901	0	104
white	clean-dirty	496	548	0	28
blue	clean-dirty	516	512	0	62
red	like-dislike	335	779	0	33
black	like-dislike	338	726	0	62
orange	like-dislike	77	947	1	76
yellow	like-dislike	137	891	0	28
brown	like-dislike	141	884	0	5
green	like-dislike	221	815	0	0
purple	like-dislike	49	966	0	2
white	like-dislike	331	729	0	98
blue	like-dislike	288	757	0	66
red	new-old	270	920	4	746
black	new-old	191	910	0	65
orange	new-old	42	1036	0	147
yellow	new-old	74	1005	0	132
brown	new-old	89	981	0	120
green	new-old	118	974	0	535
purple	new-old	23	1045	0	981
white	new-old	205	922	0	17
blue	new-old	170	937	0	193
red	happy-sad	483	594	0	10
black	happy-sad	440	576	0	84
orange	happy-sad	157	859	0	36
yellow	happy-sad	243	774	0	298
brown	happy-sad	249	772	0	6
green	happy-sad	377	640	0	1
purple	happy-sad	87	923	0	1
white	happy-sad	469	545	0	84
blue	happy-sad	420	608	0	39
